uuid,q1,q1b,q2,q2b,q3a,q3b,q3c,q4a,q4b,q4c,q4d,q5,q5b,instructionsTime,comprehensionTime,postExptQuestionnaireTime
148799560458450568096,2,I barely read it. I definitely should have paid more attention,2,Since I skimmed. I didn't understand it like I should have.,strongly agree,strongly agree,agree,agree,neutral,strongly agree,strongly agree,strongly agree,I feel like you have to submit to their terms either way.,8.32,78.518,111.157
14879966048573854569,3,I don't recall seeing it,3,I don't recall seeing it,agree,agree,neutral,strongly disagree,neutral,agree,agree,neutral,Depends on what I'm doing. I usually hide my data.,3.815,203.718,159.563
148799657235762883196,1,I knew I would be asked questions about them.,2,I didn't understand what 'mobile network information' was; I understood the rest.,agree,agree,agree,disagree,neutral,agree,strongly agree,agree,I'm usually in a hurry when I sign up. or they have some service I absolutely need at the moment. so I feel forced to accept their terms. I don't use very many non-essential internet services.,3.547,168.932,106.033
148799734546986604013,3,,3,,strongly agree,agree,agree,disagree,neutral,neutral,neutral,strongly agree,,26.084,81.536,68.798
148800125446346338861,1,clearly mentioned,1,yes i understand,agree,agree,disagree,agree,agree,disagree,agree,agree,i accept,2.562,49.077,187.213
148800608430914448841,2,I thought this task was a scam. asking for personal identity information,3,I thought this task was a scam. asking for personal identity information,strongly agree,strongly agree,neutral,neutral,agree,agree,agree,agree,No other choice,30.529,107.818,271.105
148801571148125838927,1,N/A,1,N/A,strongly agree,agree,strongly agree,strongly agree,strongly agree,agree,strongly agree,agree,N/A,53.77,476.628,119.969
148801942719855280901,2,I figured it was the standard information and not likely to come up again.,2,I never understand a lot of any terms and conditions that I read,agree,agree,neutral,disagree,agree,disagree,agree,agree,I just trust there won't be bad consequences for me.,4.591,44.494,101.18
148802680762725717392,2,It takes too long.,2,Not clearly because I skimped.,strongly agree,strongly agree,agree,neutral,agree,neutral,agree,agree,Some sell your information without your knowledge.,5.367,216.024,102.618
148806550069114867122,1,I figured you'd be quizzing me on it,1,n/a,agree,strongly agree,neutral,neutral,agree,neutral,agree,neutral,Because I don't want my data misused,35.416,77.697,170.378
14880739091613172488,2,n/a,2,n/a,agree,agree,agree,agree,neutral,agree,agree,agree,n/a,3.91,94.224,67.403
148807706375145629636,1,It's what I do. I read the terms.,2,I did but I did not take the time to memorize it.,agree,agree,neutral,agree,agree,agree,agree,agree,If I want to use the service I have no choice even if I am wary of some of the conditions.,22.845,87.635,108.719
148814534957830097526,3,I just wanted to move on,3,I just wanted to move on,agree,agree,agree,disagree,disagree,agree,agree,agree,I just wanted to move on,9.883,23.655,64.897
148814741357969137440,2,its boring,2,i only read briefly,neutral,neutral,agree,agree,agree,agree,agree,neutral,i am not bothered ,19.699,41.152,89.654
148820657791718843354,3,I didn't see it anywhere on the page.,3,Didn't find it. ,agree,strongly agree,strongly agree,agree,agree,agree,agree,agree,Otherwise I won't be able to use the service. ,11.529,26.963,54.719
148820828495458725614,1,I read the Terms and Conditions so I could find out what they specified.,2,I thought the T&C were somewhat vague and didn't provide a lot of information.,strongly agree,strongly agree,strongly agree,neutral,agree,agree,agree,agree,People don't have a choice about T&C and being concerned about privacy because at this point. we all need internet service. email. Facebook and all the other web-based services. so people have to surrender their private data to these companies.,24.213,218.654,169.006
,1,State why I read it clearly?,1,n/a,strongly agree,agree,strongly agree,neutral,agree,agree,agree,strongly agree,n/a,NaN,299.846,88.502
148834189789315664072,3,I didn't think it is important,3,I didn't think it is important,agree,agree,agree,disagree,disagree,neutral,agree,agree,To register I have to agree,4.283,86.311,104.341
148834854163645076925,1,I knew I would be tested.,2,I wasn't quite sure what 'mobile network' information was. or what some of the purposes of collecting data were.,neutral,agree,strongly agree,disagree,neutral,agree,agree,strongly agree,Because I need the services they provide.,3.887,182.728,124.8
148834870479863350289,3,It takes too long,3,They are usually long and boring.,strongly agree,strongly agree,agree,agree,agree,agree,agree,agree,I assume my information is going to be available if someone really wants it anyway.,18.66,59.115,173.798
148834916214634967875,1,i need to know all,1,i like to know that,agree,agree,disagree,agree,disagree,agree,disagree,disagree,its secured,3.249,38.232,59.044
148835196446966589898,1,N/A,1,N/A,agree,agree,neutral,strongly agree,agree,neutral,agree,strongly agree,N/A,8.13,34.183,739.078
148835499565073444158,1,N/A,1,N/A,agree,strongly agree,agree,strongly agree,agree,strongly agree,agree,agree,N/A,5.705,23.955,637.216
148846104879667646963,2,Most of it is legalese and I didn't understand a lot of it,2,Most of it is legalese and I didn't understand a lot of it,strongly agree,strongly agree,strongly agree,neutral,agree,neutral,agree,strongly agree,In most cases if you want their service you need to agree. no other choice,3.108,63.991,71.554
148846103571341069197,2,To go fast because normally we skimped it,1,Yes I understand it,agree,agree,agree,agree,agree,agree,strongly agree,strongly agree,people tend to think about what risk they are going to get,3.018,45.397,99.578
148846104041617434838,2,I was getting paid to take a look at it.  ,2,There is a lot of information and specific details to take in. ,agree,agree,agree,disagree,agree,strongly agree,strongly agree,agree,I am trading my information for the use of the service,13.895,66.67,96.647
14884611834391292988,3,I never read terms and conditions,3,I never read terms and conditions,disagree,disagree,neutral,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,I never read terms and conditions,36.991,29.181,39.624
148846118739881261412,3,I never read terms and conditions,3,I never read terms and conditions,strongly disagree,disagree,neutral,strongly disagree,disagree,agree,neutral,neutral,because I dont' read them,46.422,34.157,54.251
148846104343468895231,1,I read ,1,I understand,strongly agree,strongly agree,agree,neutral,strongly agree,neutral,neutral,agree,None,3.984,89.065,144.155
148846109643660878643,1,Yes.,2,long time,agree,strongly agree,neutral,agree,agree,strongly agree,agree,agree,Internet service is some what risk.,18.109,81.367,143.22
14884613163692248656,undefined,I didn't notice it,3,I didn't see it,strongly agree,strongly agree,strongly agree,strongly disagree,agree,agree,agree,neutral,,4.065,25.57,43.394
148846127373826541145,2,It was long and I didn't know that we'd be tested on it.,2,I skimmed it and got the general sense that they collected a lot of personal information,agree,agree,agree,disagree,neutral,agree,agree,agree,What else can you do?,22.015,61.374,101.403
148846104055662060789,1,Generally i do this before the sign up of every service.,2,Some information were too complex to understand.,strongly agree,strongly agree,strongly agree,agree,strongly agree,agree,agree,neutral,It depends on the risk that may be present in the terms and conditions.,13.474,75.974,120.762
148846140160138887370,1,Nil,2,Nil,neutral,disagree,agree,agree,neutral,disagree,agree,agree,Nil,10.68,75.502,47.088
14884611818868594302,2,I skimmed the information as I am pressed for time,1,There was no complex legalese in the document,strongly agree,strongly agree,agree,agree,strongly agree,agree,strongly agree,agree,I need to utilize the service. so I have no real choice in the matter,41.355,230.142,129.705
148846144951419551066,1,To see what it collected,2,sort of.  ,strongly agree,strongly agree,strongly agree,disagree,neutral,agree,neutral,strongly agree,I think they collect too much personal information,6.227,55.981,90.481
148846140775195395048,1,,1,,strongly agree,strongly agree,strongly agree,agree,strongly agree,agree,strongly agree,strongly agree,,6.181,75.184,58.805
148846122792522580760,1,I had no problem undersatnding,1,Pretty much the same as others,strongly agree,strongly agree,agree,agree,strongly agree,agree,strongly agree,agree,Seems like I am always getting to many emails and worry about fraud,45.711,105.973,159.966
148846119698911497500,2,I thought maybe it is not important for the survey purpose,2,Because I didn't read carefully enough.,strongly agree,strongly agree,agree,disagree,strongly agree,strongly agree,strongly agree,strongly agree,unless you accept their terms and conditions you cannot use the service,18.85,187.4,193.297
148846128441243397843,2,too wordy,1,nothing was confusing,agree,agree,neutral,neutral,agree,neutral,agree,agree,dont feel like reading all conditions,233.361,81.575,120.524
148846112677912579780,2,Not read the terms and conditions carefully.,3,Not read the terms and conditions carefully.,agree,agree,agree,disagree,strongly agree,agree,agree,strongly agree,It looks like companies misuse personal data for their personal gains. B,11.371,150.506,361.976
148846149680896634557,3,I didn't know I was supposed to,3,This is a strange HIT,neutral,neutral,agree,disagree,disagree,disagree,disagree,neutral,I don't really think there is anybody out there to get me,10.676,79.233,88.874
148846156385772535986,2,they are all the same,2,seemed to be something missing. like third party stuff,agree,agree,neutral,disagree,neutral,neutral,neutral,agree,you have to do it to live in the modern world,4.052,58.586,74.818
148846106246974335369,1,I always read the terms and conditions to know what I'm potentially getting into.,1,I understood them.,strongly agree,strongly agree,agree,agree,agree,strongly agree,strongly agree,strongly agree,I don't feel comfortable knowing my every move on the internet is tracked but if I want to use the site it's something I have to accept.,33.71,355.809,133.459
148846123493644009994,2,Lot to read,3,Lot to tead,neutral,neutral,disagree,disagree,neutral,agree,neutral,neutral,Want the service,6.587,304.289,118.87
148846120118139031512,2,,2,,agree,agree,neutral,neutral,agree,neutral,neutral,neutral,,4.275,58.633,185.889
148846108793333470244,1,As this is a new site and i'm not aware .why it is asking for registration .so i have to know it.,1,All mentioned clearly.,agree,agree,strongly agree,disagree,neutral,agree,strongly agree,agree,Yes. because . have to use some part of their offering services and no option except that.,37.567,79.653,196.701
148846151895371072692,2,it looked short enough. i am using fake info,2,looked typical,agree,neutral,agree,disagree,agree,agree,strongly agree,agree,i am usually in a hurry,31.258,116.64,108.185
148846109992568103676,2,It's time consuming,2,I read quickly and superficially,agree,agree,neutral,neutral,agree,neutral,agree,agree,Because there are no alternatives. all e-companies do that.,96.859,168.002,291.001
148846165455193007083,1,because i feel it is important to know what you are getting into ,2,that kind of talk confuses me a little ,agree,agree,neutral,neutral,neutral,neutral,neutral,agree,because i want to know where it is going and how it is being used,7.209,63.471,118.704
148846182555688453061,3,i just didn't,3,i just didn't,disagree,neutral,neutral,disagree,neutral,strongly disagree,agree,neutral,idc,5.246,26.259,38.919
148846127808650480403,1,Because I wanted to know how my account information will be used.,1,The Terms and Conditions were very clear. but I have already forgotten some of it.,strongly agree,strongly agree,neutral,neutral,strongly agree,strongly agree,strongly agree,disagree,I have not signed up for certain online services that say they will be allowed to post things to Twitter. Facebook. etc. on my behalf.  That is completely ridiculous.  ,35.131,106.263,307.869
148846122372922410550,1,I wanted to know about it.,2,it was difficult to understand,agree,agree,agree,agree,strongly agree,strongly agree,agree,agree,I worry that they will misuse it,5.189,100.106,273.188
14884617435727158889,1,Nil,1,Nil,neutral,disagree,agree,agree,agree,neutral,neutral,agree,Nil,44.051,82.182,33.883
148846164619599443696,1,because  you  should read it,1,they  are easy  to  read,strongly agree,strongly agree,strongly agree,agree,strongly agree,strongly agree,strongly agree,strongly agree,i need the service,63.858,72.721,142.032
148846186040369023054,2,I usually do not read the terms and conditions.,2,I skimped,neutral,neutral,disagree,disagree,disagree,disagree,disagree,disagree,I am usually not very concerned about terms and conditions.,-91.467,216.381,214.303
148846107765166106825,1,They were short.,2,Some terms I did not understand.,agree,agree,neutral,disagree,neutral,agree,agree,agree,I accept them anyways because I need to use the service.,645.239,198.682,102.846
148846185117237186808,3,I did not see the terms and conditions,3,I did not see the terms and conditions,agree,strongly agree,disagree,disagree,agree,strongly disagree,agree,agree,yes. i am,33.668,152.888,112.363
14884614582994463164,2,Tried to grasp as fast as possible,2,Tried to read as quickly as possible,strongly agree,strongly agree,strongly agree,disagree,agree,disagree,agree,strongly agree,I need the account however I do not like when these companies use my details for marketing purposes without my consent ,71.661,312.188,265.349
148846184086241252630,2,,2,,agree,agree,agree,disagree,neutral,disagree,neutral,agree,,28.849,107.896,71.738
148846103484572807123,1,My responsibility,1,My responsibility,agree,agree,agree,neutral,agree,agree,agree,agree,I will provide limited information.,4.439,859.864,155.945
148846200214344949906,2,yes,1,yes,strongly agree,agree,strongly agree,agree,agree,neutral,agree,agree,i trust,25.667,174.851,243.009
148846141156520341470,2,I hadn't yet provided any real information and didn't think I'd be using the service long term,2,Probably because I only skimmed it and it was unclear when it said I could control my information exactly what that meant.,agree,agree,agree,agree,agree,disagree,agree,agree,Usually if it is a service I need I don't see a way to use it without accepting it.,7.806,565.473,251.314
148846108655468874717,2,Because it would have taken too long to read it all.,1,Because I did.,agree,neutral,neutral,disagree,neutral,disagree,agree,agree,Because I need to.,73.969,458.882,184.154
148846216051184149023,3,Legal mumbo-jumbo,3,I didn't read it,agree,agree,disagree,disagree,agree,agree,agree,strongly agree,I want to use the service,16.618,83.825,85.775
14884612771119785241,1,curious ,1,easy to understasnd,agree,agree,neutral,disagree,agree,disagree,agree,agree,they might use my info somewhere,54.422,265.926,207.834
148846188604714987233,1,Yes i always do,1,Yes it is the best thing to do,strongly agree,strongly agree,neutral,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,Because it is my info,30.145,72.244,139.817
148846180802720456432,2,That is what I do always,2,I thought it is usual process,agree,agree,disagree,disagree,neutral,strongly agree,strongly agree,strongly agree,As I need their services. I used to do that always.,22.026,115.362,386.714
148846123958985457544,1,It was asked to answer questionnaire for sign up experience,1,It was asked to answer questionnaire for sign up experience,agree,agree,neutral,neutral,agree,agree,agree,agree,Usually not have enough time to read. or it is not a comfortable period of time,4.394,780.254,326.361
148846210818731801647,2,didn't have enough time,2,just outlined,agree,agree,agree,disagree,disagree,disagree,agree,agree,just for security reasons,17.717,70.821,111.204
148846161943190334934,1,Requirement to complete the survey.,2,Given a reading only once and make an understanding accordingly.,agree,agree,agree,disagree,agree,agree,agree,agree,I don't anticipate much of loss due to information sharing.,38.157,288.304,445.918
148846219958213328418,2,Too much information. Just get to the point. ,1,From what I read I was able to comprehend the information. ,agree,agree,agree,neutral,neutral,agree,agree,agree,My need to use their services often overrides my concern over my data. ,14.726,55.27,131.063
148846214152554162816,1,Nil,1,Nil,disagree,agree,neutral,agree,disagree,agree,neutral,agree,Nil,185.317,22.921,38.984
148846159517327087095,1,I was expecting some questions,1,I was carefull at reading which i usually don't.,strongly agree,strongly agree,strongly agree,strongly disagree,agree,agree,agree,strongly agree,I want the service even if some privacy is lost.,3.84,566.321,294.061
14884626473428142315,2,I GENERALLY TRUST THE SITE,2,I HAVEN'T READ IN DETAIL,agree,agree,agree,agree,agree,agree,agree,agree,BECAUSE I WANT TO KNOW MORE ABOUT THE SITE.,-66.2,206.844,104.674
148846186049622519684,1,I typical read a sites terms and condition if presented to me.,1,It seemed JimmySearch was fairly typical of other internet search sites.,strongly agree,strongly agree,neutral,strongly agree,strongly agree,disagree,agree,strongly agree,Unless the terms and conditions are too outlandish or intrusive. I agree so that I may use their services.,48.05,210.318,385.741
148846268333811309354,1,Nil,1,Nil,agree,neutral,disagree,agree,neutral,agree,agree,agree,Nil,20.278,29.592,25.064
148846267071725283941,2,n/a,2,Because I wanted to have some information,neutral,neutral,neutral,disagree,agree,disagree,agree,agree,because this is the only way to proceed,20.051,75.719,88.263
148846229452960609505,2,I read quickly skimming the terms.,1,The terms were clear to me for the most part.,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,neutral,strongly agree,I do not trust internet companies who ask for personal information.,355.103,61.147,117.186
148846226106836668138,3,I am lazy,3,no.I just made guesses based on my experience in previous page questions,agree,agree,agree,strongly disagree,strongly disagree,neutral,neutral,agree,yes.because its my private data,16.602,314.033,318.083
148846260383989659942,3,Who reads these things? Cant use the product without it right?,3,Not understandable by the common man. Should be illegal.,strongly agree,strongly agree,strongly agree,strongly disagree,neutral,strongly agree,strongly agree,strongly agree,Dont have any choice do we......other than not using almost every feature on every electronic device. ,21.613,80.519,142.049
148846250381729278677,2,I rarely read terms and conditions. Because I feel I will not get troubled by collecting any data.,2,Yes I read some sub headings. It was very easy to understand few things.,strongly disagree,strongly disagree,disagree,strongly disagree,disagree,agree,strongly agree,agree,Because sometimes. those services will be important to for me. And I don't fear I will get any harms as there as thousands of other users too. I am not feared when I am with a group.,2.758,234.623,370.423
148846247951949245218,2,I thought it bit too formal and the changes of exploiting this much personal details are quite low.,1,Yes whatever part I read was quite easy to understand.,agree,agree,neutral,disagree,neutral,agree,agree,agree,Since I need to use those services anyways.,14.424,87.29,291.412
148846317989084199232,1,i read clearly it states good conditions,2,jimmy search's terms and conditions i understand easily,agree,strongly agree,neutral,agree,strongly agree,neutral,agree,strongly agree,i concerned the internet service companies use my private data,6.045,41.364,307.868
14884624146136759451,1,I felt it was required here.,1,It was simple enough.,strongly agree,strongly agree,agree,strongly disagree,neutral,disagree,neutral,strongly agree,I am concerned. but what can one do.,62.586,87.075,602.347
148846290964126703353,1,I assumed there'd be questions about them.,1,Because I read them slowly.,neutral,strongly agree,agree,strongly disagree,neutral,agree,agree,agree,Basically it seem that Internet companies can do anything if you want to use their programs.,10.078,326.274,170.17
,2,I skimed for the general idea behind the TOS.,2,I did not read all of it so I don't fully understand the TOS,neutral,neutral,neutral,strongly disagree,strongly disagree,disagree,disagree,strongly agree,My need to use these far sites are greater than my privacy concerns.,NaN,35.221,142.904
148846319728278774558,1,To know it,1,To comprehend the terms,neutral,agree,neutral,strongly agree,agree,agree,agree,agree,To check for their device,23.494,475.723,128.652
148846382545115120952,3,I never read terms and conditions,3,I did not read it,neutral,neutral,neutral,strongly disagree,strongly disagree,strongly disagree,strongly disagree,neutral,I assume nothing bad is going to happen,10.346,60.016,106.627
148846370472254167846,1,tamilnadu,1,tamilnadu,agree,neutral,neutral,agree,agree,neutral,agree,agree,tamilnadu,153.207,16.099,50.315
148332266861212924860,3,no information is given,3,no,agree,agree,agree,strongly agree,strongly agree,strongly agree,agree,disagree,without my permission not satisfied with account,8.081,222.036,285.85
148846426736341521603,2,I skimmed because this isn't a real site. and I don't really care that much.  I didn't give real information for you to use improperly anyway.,1,Because it wasn't that different from anyone else's T&C.  I give you info. you get to use it. bla bla bla.,strongly agree,strongly agree,agree,agree,agree,agree,agree,agree,Because you can't use the service if you don't.  And much of it is legalese. I'd need a freaking translator.,29.953,53.502,113.571
148846463087137346444,1,I was told to,1,I read it,strongly agree,strongly agree,neutral,disagree,neutral,agree,agree,agree,I would want to know,12.196,75.885,77.523
148846441549874305978,2,na,2,na,agree,agree,agree,neutral,agree,neutral,agree,agree,na,86.346,242.658,172.388
148846473567322161114,1,Had a feeling. that it is part of this research. hence read it.,1,I think so.,strongly agree,strongly agree,strongly agree,strongly disagree,neutral,strongly agree,strongly agree,agree,Otherwise it's difficult to carry on with your regular life. For e.g.. if you don't agree to Gmail terms & conditions. then you simply can't have an email account. Plus the terms & conditions are mostly generic & similar across various service providers.,61.217,96.788,233.599
148846458926115849529,1,followed the instructions,1,there was nothing hard to understand,agree,agree,agree,neutral,neutral,neutral,agree,neutral,unsure,82.623,118.85,176.095
148846512852435475642,2,Because terms and conditions are full of jargon and are long and complicated.,1,From what I read I understood.,agree,strongly agree,neutral,strongly disagree,neutral,agree,agree,agree,Because it's convenient for me to skip it. I save time. I can't change it anyway.,32.637,72.675,88.587
148846510972373605335,2,skimmed,2,skimmed,agree,disagree,agree,disagree,agree,disagree,agree,disagree,i trust them,9.38,112.163,106.279
148846493765393516158,1,to check if it is safe to sign up,1,Read and I think I know what I am getting into.,strongly agree,strongly agree,strongly agree,agree,strongly agree,disagree,strongly agree,strongly agree,Either accept the terms or not sign up at all. There is no choice if I need it.,34.983,549.555,223.418
148846560699265021422,3,They usually always say stuff that I don't really understand.,3,Because I just don't read stuff like that.  I probably should start though,agree,agree,strongly agree,disagree,neutral,disagree,neutral,agree,Because if you don't accept then you won't get the service.,55.593,99.576,176.097
148846614606116619636,1,to check if there are any chances of identity theft.,1,I read it sincerely. ,agree,agree,neutral,agree,strongly agree,agree,agree,agree,because there are chances of identity theft.,50.428,90.243,211.081
14884658425662142153,2,Well. I read more than less of it!,1,Clearly understood.,strongly agree,strongly agree,strongly agree,strongly disagree,agree,disagree,agree,agree,It is not possible to proceed without doing that.,135.944,72.521,301.13
148846711451161573725,2,I did not really read this carefully as i thought you were concerned with whether or not this program worked properly,2,I did not really read this carefully as i thought you were concerned with whether or not this program worked properly,strongly agree,strongly agree,disagree,strongly disagree,strongly disagree,agree,agree,strongly agree,I did not really read this carefully as i thought you were concerned with whether or not this program worked properly,16.536,58.344,121.182
14884680109644454273,2,Waste of time,1,It was written pretty plainly,strongly agree,strongly agree,strongly agree,neutral,strongly agree,neutral,strongly agree,agree,I don't give them my real information anyway.,35.452,80.41,159.534
14884683992809520000,1,I always try to read through them,1,It wasn't too hard to understand or to read through,strongly agree,agree,strongly agree,agree,agree,neutral,neutral,neutral,Some sites I do. however most sites if I do not like what they collect. then I do not sign up.  I do not need a bunch of different accounts. I keep very few.,2.269,185.066,110.98
148847578752428124220,1,i read clearly,2,but not clearly,agree,neutral,neutral,agree,agree,strongly disagree,agree,agree,i use my private data,5.672,34.956,117.808
148847664299566139957,1,ndjwbdbwd,1,bdhwbw,strongly agree,agree,neutral,agree,neutral,disagree,strongly disagree,agree,njwnekjw,124.518,12.551,19.6
148847672605644890735,1,I always read Terms and Conditions as to gain understanding about what data will be shared and collected.,1,Yes the Terms and Conditions were easy to understand.,agree,strongly agree,neutral,agree,agree,agree,strongly agree,agree,I always read Terms and Conditions as to gain understanding about what data will be shared and collected. But I have to accept that anyway.,55.538,761.445,156.001
